Frame: 	Blockiness: 	SA: 	Letterbox: 	Pillarbox: 	Blockloss: 	Blur: 	TA: 	Blackout: 	Freezing: 	Exposure(bri): 	Contrast: 	Interlace: 	Noise: 	Slice: 	Flickering:
00000 	0.75233 	60.42909 	0.00000 	0.00000 	0.00000 	4.882 	0.00000 	0 	0 	125    	47.81676 	0.00167 	0.3137   	14.971  	0.00000
00001 	0.76386 	60.31128 	0.00000 	0.00000 	0.00000 	4.908 	5.22555 	0 	0 	125    	47.78212 	0.00132 	0.3114   	14.910  	-1.00000
00002 	0.79506 	60.06333 	0.00000 	0.00000 	0.00000 	4.890 	5.57612 	0 	0 	125    	47.73015 	0.00139 	0.3138   	15.651  	-1.00000
00003 	0.81366 	59.86820 	0.00000 	0.00000 	0.00000 	4.804 	5.91165 	0 	0 	125    	47.69169 	0.00118 	0.3142   	14.828  	-1.00000
00004 	0.84731 	59.09701 	0.00000 	0.00000 	0.00000 	4.898 	5.95349 	0 	0 	125    	47.60848 	0.00104 	0.3148   	13.506  	-1.00000
00005 	0.82800 	58.36299 	0.00000 	0.00000 	0.00000 	4.871 	5.24350 	0 	0 	125    	47.56040 	0.00160 	0.3102   	13.139  	-1.00000
00006 	0.86307 	58.10402 	0.00000 	0.00000 	0.00000 	4.901 	4.89044 	0 	0 	125    	47.46854 	0.00118 	0.3135   	14.557  	-1.00000
00007 	0.84839 	58.22295 	0.00000 	0.00000 	0.00000 	4.901 	5.56842 	0 	0 	125    	47.35968 	0.00111 	0.3153   	14.591  	-1.00000
00008 	0.85820 	58.17685 	0.00000 	0.00000 	0.00000 	4.937 	4.78183 	0 	0 	125    	47.22286 	0.00104 	0.3161   	14.118  	0.67882
00009 	0.87454 	57.59366 	0.00000 	0.00000 	0.00000 	4.975 	5.95825 	0 	0 	125    	47.06846 	0.00104 	0.3139   	12.572  	-1.00000
00010 	0.87907 	57.73986 	0.00000 	0.00000 	0.10000 	4.912 	5.77412 	0 	0 	125    	46.90871 	0.00083 	0.3175   	12.606  	-1.00000
00011 	0.89255 	57.36922 	0.00000 	0.00000 	0.00000 	4.933 	4.90922 	0 	0 	125    	46.74839 	0.00090 	0.3156   	13.269  	-1.00000
00012 	0.87424 	57.32263 	0.00000 	0.00000 	0.00000 	4.926 	4.85111 	0 	0 	125    	46.61743 	0.00076 	0.3200   	13.637  	-1.00000
00013 	0.89900 	57.05311 	0.00000 	0.00000 	0.00000 	4.957 	4.80191 	0 	0 	125    	46.48767 	0.00083 	0.3177   	13.761  	-1.00000
00014 	0.88417 	56.63123 	0.00000 	0.00000 	0.20000 	4.987 	3.04564 	0 	0 	125    	46.47429 	0.00083 	0.3229   	13.199  	-1.00000
00015 	0.91216 	56.39516 	0.00000 	0.00000 	0.10000 	5.002 	2.32081 	0 	0 	125    	46.47783 	0.00069 	0.3201   	12.859  	-1.00000
00016 	0.89575 	56.35603 	0.00000 	0.00000 	0.20000 	5.027 	2.15141 	0 	0 	125    	46.48235 	0.00076 	0.3231   	12.967  	0.73032
00017 	0.88063 	56.53603 	0.00000 	0.00000 	0.20000 	4.997 	2.32730 	0 	0 	125    	46.50287 	0.00083 	0.3226   	12.992  	-1.00000
00018 	0.91447 	56.43615 	0.00000 	0.00000 	0.50000 	5.018 	2.40803 	0 	0 	125    	46.49768 	0.00042 	0.3159   	13.048  	-1.00000
00019 	0.88830 	56.53879 	0.00000 	0.00000 	0.50000 	5.019 	2.34274 	0 	0 	125    	46.51325 	0.00069 	0.3156   	13.127  	-1.00000
00020 	0.90882 	56.39550 	0.00000 	0.00000 	0.00000 	5.037 	2.13067 	0 	0 	125    	46.51363 	0.00069 	0.3106   	13.992  	-1.00000
00021 	0.89461 	56.51349 	0.00000 	0.00000 	0.00000 	5.043 	1.77044 	0 	0 	125    	46.53828 	0.00090 	0.3165   	13.705  	-1.00000
00022 	0.90481 	56.41495 	0.00000 	0.00000 	0.00000 	5.035 	1.89856 	0 	0 	125    	46.54258 	0.00076 	0.3110   	14.972  	-1.00000
00023 	0.88134 	56.44326 	0.00000 	0.00000 	0.00000 	5.040 	2.40449 	0 	0 	125    	46.55855 	0.00097 	0.3173   	14.116  	-1.00000
00024 	0.88621 	56.57328 	0.00000 	0.00000 	0.20000 	5.040 	1.91930 	0 	0 	125    	46.57741 	0.00083 	0.3194   	12.858  	0.68750
00025 	0.90659 	56.55816 	0.00000 	0.00000 	0.00000 	5.028 	1.34716 	0 	0 	125    	46.58819 	0.00069 	0.3205   	13.291  	-1.00000
00026 	0.88785 	56.68433 	0.00000 	0.00000 	0.00000 	5.025 	1.28136 	0 	0 	125    	46.60376 	0.00076 	0.3216   	14.128  	-1.00000
00027 	0.88674 	56.69742 	0.00000 	0.00000 	0.20000 	5.002 	1.01210 	0 	0 	125    	46.61755 	0.00076 	0.3259   	14.957  	-1.00000
00028 	0.89875 	56.71959 	0.00000 	0.00000 	0.10000 	5.010 	0.98827 	0 	0 	125    	46.63142 	0.00076 	0.3262   	15.284  	-1.00000
00029 	0.91519 	56.73658 	0.00000 	0.00000 	0.10000 	5.011 	0.99115 	0 	0 	125    	46.63966 	0.00090 	0.3243   	14.004  	-1.00000
00030 	0.91096 	56.68245 	0.00000 	0.00000 	0.10000 	4.981 	0.96386 	0 	0 	125    	46.65280 	0.00090 	0.3214   	13.617  	-1.00000
00031 	0.91669 	56.58875 	0.00000 	0.00000 	0.10000 	5.005 	1.02505 	0 	0 	125    	46.66353 	0.00076 	0.3228   	13.064  	-1.00000
00032 	0.90827 	56.59569 	0.00000 	0.00000 	0.00000 	4.999 	1.30804 	0 	0 	125    	46.67983 	0.00083 	0.3275   	13.035  	0.75521
00033 	0.90323 	56.60742 	0.00000 	0.00000 	0.00000 	5.000 	1.25778 	0 	0 	125    	46.69132 	0.00083 	0.3276   	13.102  	-1.00000
00034 	0.91461 	56.61098 	0.00000 	0.00000 	0.00000 	4.985 	1.37461 	0 	0 	125    	46.70402 	0.00104 	0.3243   	12.621  	-1.00000
00035 	0.91274 	56.57995 	0.00000 	0.00000 	0.00000 	4.966 	1.75967 	0 	0 	125    	46.71908 	0.00069 	0.3241   	11.940  	-1.00000
00036 	0.90433 	56.61361 	0.00000 	0.00000 	0.00000 	4.989 	1.54591 	0 	0 	125    	46.73102 	0.00069 	0.3256   	12.289  	-1.00000
00037 	0.91252 	56.59206 	0.00000 	0.00000 	0.00000 	5.011 	1.24787 	0 	0 	125    	46.73844 	0.00069 	0.3215   	11.582  	-1.00000
00038 	0.91325 	56.69221 	0.00000 	0.00000 	0.00000 	4.996 	1.40264 	0 	0 	125    	46.74936 	0.00069 	0.3182   	11.950  	-1.00000
00039 	0.93394 	56.58931 	0.00000 	0.00000 	0.00000 	5.012 	1.90553 	0 	0 	125    	46.74915 	0.00069 	0.3183   	11.278  	-1.00000
00040 	0.91679 	56.78923 	0.00000 	0.00000 	0.00000 	5.014 	2.51186 	0 	0 	125    	46.76851 	0.00076 	0.3243   	10.778  	0.69097
00041 	0.91351 	56.89743 	0.00000 	0.00000 	0.00000 	5.001 	2.50163 	0 	0 	125    	46.78799 	0.00076 	0.3248   	9.967   	-1.00000
00042 	0.91285 	56.93374 	0.00000 	0.00000 	0.00000 	5.028 	1.50491 	0 	0 	125    	46.80192 	0.00076 	0.3214   	10.622  	-1.00000
00043 	0.92673 	56.86898 	0.00000 	0.00000 	0.00000 	5.053 	2.06811 	0 	0 	125    	46.79067 	0.00083 	0.3164   	10.258  	-1.00000
00044 	0.92314 	57.06493 	0.00000 	0.00000 	0.00000 	5.010 	2.21880 	0 	0 	125    	46.80023 	0.00076 	0.3259   	10.013  	-1.00000
00045 	0.92343 	56.94852 	0.00000 	0.00000 	0.10000 	5.025 	1.92522 	0 	0 	125    	46.79071 	0.00083 	0.3207   	10.293  	-1.00000
00046 	0.91355 	56.86976 	0.00000 	0.00000 	0.10000 	5.008 	2.69665 	0 	0 	125    	46.79833 	0.00083 	0.3274   	9.905   	-1.00000
00047 	0.92371 	56.50840 	0.00000 	0.00000 	0.20000 	5.043 	2.75956 	0 	0 	125    	46.78958 	0.00069 	0.3258   	9.777   	-1.00000
00048 	0.92410 	56.46319 	0.00000 	0.00000 	0.10000 	5.031 	2.36787 	0 	0 	125    	46.78555 	0.00069 	0.3218   	8.389   	0.69473
00049 	0.91335 	56.58515 	0.00000 	0.00000 	0.10000 	5.011 	2.27292 	0 	0 	125    	46.79875 	0.00083 	0.3277   	8.485   	-1.00000
00050 	0.93097 	56.46695 	0.00000 	0.00000 	0.10000 	5.041 	2.20845 	0 	0 	125    	46.79881 	0.00069 	0.3201   	8.298   	-1.00000
00051 	0.92154 	56.59104 	0.00000 	0.00000 	0.20000 	5.012 	1.97305 	0 	0 	125    	46.81133 	0.00069 	0.3233   	9.109   	-1.00000
00052 	0.93033 	56.60450 	0.00000 	0.00000 	0.20000 	5.056 	1.30473 	0 	0 	125    	46.81013 	0.00090 	0.3211   	8.671   	-1.00000
00053 	0.92731 	56.70494 	0.00000 	0.00000 	0.10000 	5.037 	0.77614 	0 	0 	125    	46.82626 	0.00083 	0.3254   	9.116   	-1.00000
00054 	0.93330 	56.72965 	0.00000 	0.00000 	0.10000 	5.034 	0.85555 	0 	0 	125    	46.83382 	0.00083 	0.3249   	9.283   	-1.00000
00055 	0.93242 	56.72211 	0.00000 	0.00000 	0.10000 	5.040 	0.64658 	0 	0 	125    	46.83790 	0.00076 	0.3241   	10.108  	-1.00000
00056 	0.92627 	56.67967 	0.00000 	0.00000 	0.10000 	5.040 	0.94457 	0 	0 	125    	46.84728 	0.00069 	0.3214   	10.190  	0.68634
00057 	0.92774 	56.66000 	0.00000 	0.00000 	0.10000 	5.032 	2.19375 	0 	0 	125    	46.84214 	0.00090 	0.3199   	10.591  	-1.00000
00058 	0.93838 	56.65703 	0.00000 	0.00000 	0.10000 	5.041 	2.94097 	0 	0 	125    	46.83467 	0.00069 	0.3158   	11.107  	-1.00000
00059 	0.93725 	56.84632 	0.00000 	0.00000 	0.10000 	5.016 	3.60108 	0 	0 	125    	46.85608 	0.00083 	0.3198   	11.004  	-1.00000
00060 	0.92655 	56.94512 	0.00000 	0.00000 	0.10000 	5.035 	2.95430 	0 	0 	125    	46.87131 	0.00069 	0.3193   	11.361  	-1.00000
00061 	0.93391 	56.93003 	0.00000 	0.00000 	0.10000 	5.042 	2.03196 	0 	0 	125    	46.88133 	0.00069 	0.3184   	11.323  	-1.00000
00062 	0.92875 	57.05251 	0.00000 	0.00000 	0.10000 	5.015 	1.04999 	0 	0 	125    	46.89992 	0.00097 	0.3251   	11.364  	-1.00000
00063 	0.94346 	57.05441 	0.00000 	0.00000 	0.10000 	5.020 	0.81245 	0 	0 	125    	46.90692 	0.00111 	0.3180   	11.764  	-1.00000
00064 	0.94686 	57.07323 	0.00000 	0.00000 	0.10000 	5.018 	1.03132 	0 	0 	125    	46.91306 	0.00090 	0.3194   	11.532  	0.67650
00065 	0.93588 	57.14221 	0.00000 	0.00000 	0.00000 	5.011 	0.95777 	0 	0 	125    	46.92045 	0.00090 	0.3194   	11.704  	-1.00000
00066 	0.92672 	57.14257 	0.00000 	0.00000 	0.00000 	5.005 	1.43772 	0 	0 	125    	46.92933 	0.00104 	0.3191   	12.236  	-1.00000
00067 	0.92437 	57.11730 	0.00000 	0.00000 	0.00000 	4.997 	1.53559 	0 	0 	125    	46.93928 	0.00090 	0.3217   	12.698  	-1.00000
00068 	0.94420 	57.03301 	0.00000 	0.00000 	0.00000 	5.025 	1.62570 	0 	0 	125    	46.93692 	0.00069 	0.3169   	14.469  	-1.00000
00069 	0.93936 	57.11255 	0.00000 	0.00000 	0.00000 	5.009 	2.45871 	0 	0 	125    	46.94446 	0.00090 	0.3199   	14.800  	-1.00000
00070 	0.94473 	56.91630 	0.00000 	0.00000 	0.20000 	5.015 	3.33378 	0 	0 	125    	46.93978 	0.00083 	0.3207   	14.771  	-1.00000
